Amanita	SH320428.07FU	SH082305.07FU	SH038019.07FU	SH003268.07FU	36.204824|138.252924, 35.907757|127.766922
Amanita	SH367482.07FU	SH100012.07FU	SH049956.07FU	SH012494.07FU	15.870032|100.992541
Amanita	SH367481.07FU	SH100010.07FU	SH049956.07FU	SH012494.07FU	35.86166|104.195397
Amanita	SH367483.07FU	SH100011.07FU	SH049956.07FU	SH012494.07FU	35.86166|104.195397
Amanita	SH367485.07FU	SH100010.07FU	SH049956.07FU	SH012494.07FU	35.86166|104.195397
Amanita	SH367487.07FU	SH100011.07FU	SH049956.07FU	SH012494.07FU	35.86166|104.195397
Amanita	SH367488.07FU	SH100014.07FU	SH049956.07FU	SH012494.07FU	35.86166|104.195397
Amanita	SH367489.07FU	SH100011.07FU	SH049956.07FU	SH012494.07FU	35.86166|104.195397
Amanita	SH367486.07FU	SH100010.07FU	SH049956.07FU	SH012494.07FU	36.204824|138.252924
Amanita	SH448451.07FU	SH133636.07FU	SH074242.07FU	SH032133.07FU	41.87194|12.56738
Amanita	SH448452.07FU	SH133636.07FU	SH074242.07FU	SH032133.07FU	41.87194|12.56738
Amanita	SH448320.07FU	SH133636.07FU	SH074242.07FU	SH032133.07FU	41.87194|12.56738, 41.87194|12.56738
